OBJECTID,Species,Substrate,Activity,Count,Notes,GlobalID,CreationDate,Creator,EditDate,Editor,Repeat_Observation,Start_Temp_F,Start_Cloud_Cover %,Start_Cloud_Height,Start_Wind_Speed,Start_Wind_Direction,Rain,Observers,Date,Start_Time,End_Time,Water_Level,x,y
33,Black Phoebe,Vegetation - Tree,Resting/Roosting,1,,1b34845c-bd74-4cda-a708-644894433e77,11/16/2017 4:24:43 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:24:43 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.871406890287,34.4219189988019
34,Red-shouldered Hawk,Other,Foraging/Hunting,1,landed on light post on edge of site,fed5c81d-2a19-4ff4-a683-4d8adafa16e7,11/16/2017 4:26:02 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:26:02 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.871519927095,34.4224842853271
35,House Finch,Vegetation - Tree,Foraging/Hunting,6,flew off east,24dba03e-1c68-4206-88d6-008bbe9a1306,11/16/2017 4:28:57 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:28:57 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.872113368545,34.4224862275218
36,White-crowned Sparrow,Vegetation - Shrub,Resting/Roosting,1,heard,318f3d0c-daf3-4bb6-a314-1038b178266f,11/16/2017 4:29:30 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:29:30 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.872220517796,34.4225483895828
37,Yellow-rumped Warbler,Vegetation - Tree,Foraging/Hunting,1,,6df31ca7-9f15-479c-9384-84461d932402,11/16/2017 4:30:56 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:30:56 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.872174596817,34.4224279512885
38,Scaly-breasted Munia,Vegetation - Shrub,Foraging/Hunting,8,,293d0efc-0471-4594-a88a-6751cff51d6d,11/16/2017 4:31:19 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:31:19 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.872272366757,34.4223871295943
39,House Finch,Vegetation - Tree,Resting/Roosting,1,singing,33dffb10-84ca-419f-8b06-2758e89ee1f3,11/16/2017 4:32:28 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:32:28 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.872120474219,34.4224800126469
40,Western Meadowlark,Other,Resting/Roosting,1,on orange fence,09c2c920-0345-44ec-839e-4657900437ae,11/16/2017 4:35:37 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:35:37 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.872702937358,34.4225348698128
41,Black Phoebe,Vegetation - Herbaceous,Resting/Roosting,1,,20f913a9-c455-4dc1-a469-d9869dd4bf91,11/16/2017 4:36:30 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:36:51 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.873150372929,34.4219822105653
42,White-crowned Sparrow,,,2,heard singing,cc8505f1-d1e4-49d3-9743-67bf191350e7,11/16/2017 4:38:58 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:38:58 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.872915508398,34.4227342404428
43,Bushtit,Vegetation - Tree,Foraging/Hunting,8,heard in pine tree,d468ce09-a7c4-4b00-97aa-588dba3856dd,11/16/2017 4:39:35 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:39:35 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.873448483348,34.4224721001109
44,,Vegetation - Herbaceous,Foraging/Hunting,1,fox sparrow unknown large sparrow with yellow bill,07b2f43c-06e6-41d3-8d03-421e5305b871,11/16/2017 4:42:16 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:43:59 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.873530001867,34.4225789956074
45,Anna's Hummingbird,Vegetation - Tree,Foraging/Hunting,2,male and female,ce367ab2-b7be-4b2a-98fe-9a47f02629eb,11/16/2017 4:43:20 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:43:20 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.873428149981,34.4224771249197
46,Mallard,Water - Wading,Foraging/Hunting,2,"male and female,  walked up bank",f3cee39b-8585-47fb-b28b-811cb503f8fa,11/16/2017 4:46:20 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:46:20 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.873276135272,34.4217283094953
47,Black Phoebe,Vegetation - Herbaceous,Foraging/Hunting,1,one of two phoebe in the area,c750d7c0-3819-4da3-8b4b-caeb031b3437,11/16/2017 4:50:37 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:50:37 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.873350666695,34.4217058832768
48,Anna's Hummingbird,Vegetation - Tree,Foraging/Hunting,1,heard,e1ce2484-1c30-4a91-a6fc-6bb5db12d12f,11/16/2017 4:55:21 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:55:21 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.874966823028,34.4215383066805
49,Black Phoebe,Vegetation - Tree,Foraging/Hunting,1,,9a5b3a49-a27e-4890-8a2f-de4db2ef840d,11/16/2017 4:58:44 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:58:44 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.875525371217,34.4213025993511
50,American Pipit,Vegetation - Herbaceous,Foraging/Hunting,1,,d70a301a-0f2f-4e0e-b41d-57d0b65141e1,11/16/2017 5:00:08 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 5:00:08 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.875781042526,34.4209098212409
51,Say's Phoebe,Habitat Feature - Log,Resting/Roosting,1,"flew to sprinkler, then",0f63dbcf-4c33-4430-8316-9248b3b88db3,11/16/2017 5:04:10 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 5:04:10 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.876520766535,34.4203828998764
52,Black Phoebe,Bare ground,Foraging/Hunting,1,,e2bdbea1-fe6a-4800-b0fb-dcc05ade8503,11/16/2017 5:04:40 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 5:04:40 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.876702748144,34.4204088819178
53,Mallard,Mud,Bathing/Preening,1,maybe counted by other team,7dc1aac4-861c-44e3-8af5-d63066a221cc,11/16/2017 5:06:36 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 5:09:23 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.877332685449,34.4201370104523
54,,Vegetation - Tree,Foraging/Hunting,1,junco,fa8cbd54-a217-4449-b82e-fd7088e2731b,11/16/2017 5:07:30 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 5:07:30 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.876338784927,34.4205503402158
55,Killdeer,Water - Wading,Foraging/Hunting,1,,dc63be65-2340-4944-bd83-54993a9230ea,11/16/2017 5:10:15 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 5:13:42 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,9:10,,-119.877979440114,34.4207232868025
56,Western Sandpiper,Water - Wading,Foraging/Hunting,5,,c23cf303-6be6-42ec-bf26-b9bbb4d6982d,11/16/2017 5:10:47 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 5:10:47 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.878070431367,34.4207752506656
57,Yellow-rumped Warbler,Vegetation - Tree,Resting/Roosting,1,,93ce84a2-aecd-4d46-9617-62c3810cebd3,11/16/2017 3:32:37 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:32:37 PM,clark@ccber.ucsb.edu_ucsb,No,60,100,Medium,None,,Intermittent Drizzle,"beau find all, Lisa stratton,Chris berry",11/16/2017 3:30:02 PM,7:30,,4,-119.876332628772,34.4178354438622
58,California Towhee,Bare ground,Foraging/Hunting,1,,42a2316f-65c8-4663-b639-e27b5fcce682,11/16/2017 3:33:27 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:33:27 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.876603596594,34.4175865108395
59,Yellow-rumped Warbler,Bare ground,Other,1,flying,c7372a8d-3602-4c1b-a4de-c981328d4fb8,11/16/2017 3:36:37 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:36:37 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.877176323792,34.4185009551753
60,Blue-gray Gnatcatcher,Vegetation - Tree,Foraging/Hunting,2,,1044cc51-5c1f-4ab3-8bf2-67b81d2ac856,11/16/2017 3:43:10 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:43:10 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.877016206279,34.4177084374769
61,Anna's Hummingbird,Vegetation - Tree,Resting/Roosting,1,,b0e2123a-9d54-4d27-bf70-4f252a445eb0,11/16/2017 3:44:14 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:44:14 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.87654817144,34.4178456044536
62,Black Phoebe,Habitat Feature - Log,Foraging/Hunting,1,,1b12bd8e-3935-4973-a597-8313e9b5cbc6,11/16/2017 3:46:16 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:46:16 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.877829109746,34.4176627151013
63,Black Phoebe,Habitat Feature - Hibernacula,Foraging/Hunting,1,,e0605d3e-ae21-4ec3-aa1a-7072f5168c8c,11/16/2017 3:54:35 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:54:35 PM,clark@ccber.ucsb.edu_ucsb,Yes,,,,,,,,,,,,-119.880279149699,34.4188221663249
64,Mourning Dove,Fence,Resting/Roosting,1,,78004751-b3f4-4319-811a-f6951f5b9a47,11/16/2017 3:55:40 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:55:40 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.88090213045,34.4187816370653
65,Western Meadowlark,Bare ground,Foraging/Hunting,2,,96f067a6-630a-4456-b8c8-5b401c3b5417,11/16/2017 3:56:36 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:56:36 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.881441357674,34.4193867905479
66,Say's Phoebe,Fence,Foraging/Hunting,1,,c8d35895-e515-4158-94f7-5b52895c4398,11/16/2017 3:57:45 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 3:57:45 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.881773908603,34.4194502924901
67,Western Meadowlark,Habitat Feature - Snag,Foraging/Hunting,1,,8b04f47d-2383-41c6-bb8a-cec5dbf7f4d3,11/16/2017 4:01:33 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:01:33 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.879341161219,34.4197461320732
68,Western Meadowlark,Habitat Feature - Hibernacula,Foraging/Hunting,4,,415b2b23-dd5f-4fa9-98cf-32b580bafb5b,11/16/2017 4:03:02 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:03:02 PM,clark@ccber.ucsb.edu_ucsb,Yes,,,,,,,,,,,,-119.879257449912,34.4190673741507
69,Northern Pintail,Water - Floating,Resting/Roosting,1,,d410f00e-99e0-4d33-92e8-25d67c8f6b45,11/16/2017 4:09:46 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:09:46 PM,clark@ccber.ucsb.edu_ucsb,Yes,,,,,,,,,,,,-119.876538585517,34.4198631536082
70,Rock Dove,Bare ground,Foraging/Hunting,41,,6832a301-4fb3-4f4b-a434-bd768779efe7,11/16/2017 4:11:46 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:11:46 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.878795933249,34.4209978299836
71,Say's Phoebe,Habitat Feature - Log,Foraging/Hunting,1,,169336c0-22bd-4c0f-a39d-ab86cb65fac2,11/16/2017 4:13:13 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:13:13 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.878999511255,34.4210191656021
72,American Pipit,Bare ground,Foraging/Hunting,6,,5a7d1715-c152-4303-999e-a3a50719a1a6,11/16/2017 4:15:40 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:15:40 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.879808093825,34.4210456342996
73,Say's Phoebe,Habitat Feature - Log,Foraging/Hunting,1,,e76af0da-671f-4fcc-b2db-d1667d26af0a,11/16/2017 4:27:20 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:27:20 PM,clark@ccber.ucsb.edu_ucsb,Yes,,,,,,,,,,,,-119.881876332715,34.4205461437629
74,Red-tailed Hawk,Building,Resting/Roosting,1,,4ce40f73-7ba3-4064-bde2-20836c5daf50,11/16/2017 4:33:18 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:33:18 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.882728553645,34.4219673190804
75,American Kestrel,Habitat Feature - Snag,Foraging/Hunting,2,,f05e3db0-a516-4141-8d2d-9355715a5240,11/16/2017 4:34:05 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:34:05 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.881552488258,34.4209525762533
76,Say's Phoebe,Habitat Feature - Hibernacula,Resting/Roosting,1,,4c769f30-1457-4821-a859-81a9fe06c7a9,11/16/2017 4:34:38 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:34:38 PM,clark@ccber.ucsb.edu_ucsb,Yes,,,,,,,,,,,,-119.882384173701,34.4215264103248
77,Song Sparrow,Vegetation - Herbaceous,Resting/Roosting,1,,9b19f670-c524-4a66-9274-d13a40a1b6b4,11/16/2017 4:38:41 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:38:41 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.883762615148,34.4212426698097
78,Blue-gray Gnatcatcher,,Resting/Roosting,1,,3b95e830-2945-4cf0-8bce-af1deeb37cf8,11/16/2017 4:39:19 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:39:19 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.884163056254,34.4213379557893
79,Blue-gray Gnatcatcher,Vegetation - Tree,Foraging/Hunting,1,,fc1fcee9-47e5-447c-9d0b-20492fde1fce,11/16/2017 4:42:20 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:42:20 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.883896105698,34.4217273609903
80,Anna's Hummingbird,Vegetation - Tree,Foraging/Hunting,1,,2bb57899-06e3-43af-a66f-b4541a689d36,11/16/2017 4:42:45 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:42:45 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.883593208157,34.4216468973432
81,House Finch,Vegetation - Shrub,Foraging/Hunting,4,,6c5d613d-bedf-4d1f-af63-bd0131d38d3c,11/16/2017 4:43:15 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:43:15 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.883675333039,34.4216156166487
82,American Crow,Bare ground,Foraging/Hunting,48,,bc6479af-eda1-4495-ad33-87db121b2ec6,11/16/2017 4:44:28 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:51:26 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.882343754903,34.4211777753618
83,White-crowned Sparrow,Vegetation - Shrub,Foraging/Hunting,8,,3026bb33-80c7-4e72-ac69-729581564d41,11/16/2017 4:52:08 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:52:53 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.880634180069,34.4219315916585
84,House Finch,Vegetation - Shrub,Foraging/Hunting,3,,8f889261-6a0a-4778-abaa-21fa8156ebd8,11/16/2017 4:52:37 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:52:37 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.880803596942,34.4219252396541
85,Bewick's Wren,Vegetation - Shrub,Resting/Roosting,1,,8b409a15-65bc-476e-a62a-b3e932944f32,11/16/2017 4:57:32 PM,clark@ccber.ucsb.edu_ucsb,11/16/2017 4:57:32 PM,clark@ccber.ucsb.edu_ucsb,No,,,,,,,,,,,,-119.881190199501,34.4222080975267
