OBJECTID,Date,Species,Count,Repeat_Observation,Substrate,,,Notes,,,Activity,GlobalID,CreationDate,Creator,EditDate,Editor,,x,y
35,2017-10-30,Western Sandpiper,2,No,Water - Wading,,,,,,Foraging/Hunting,7acfad57-d47a-418f-b1d3-7344f29fe5d0,10/30/2017 4:26:14 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:26:14 PM,clark@ccber.ucsb.edu_ucsb,,-119.8769097,34.42010855
36,2017-10-30,Least Sandpiper,12,No,Water - Wading,,,,,,Foraging/Hunting,0f2fa0a7-b2ee-4c2d-af3d-cae88190f5bf,10/30/2017 4:26:53 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:26:53 PM,clark@ccber.ucsb.edu_ucsb,,-119.8768391,34.42008914
37,2017-10-30,Mallard,4,No,Water - Floating,,,,,,Foraging/Hunting,5861bd2f-1230-4fcc-8570-33c9330466b7,10/30/2017 4:30:48 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:30:48 PM,clark@ccber.ucsb.edu_ucsb,,-119.877205,34.42021201
38,2017-10-30,Say's Phoebe,1,Yes,Other,,,wood post,,,Foraging/Hunting,4c9a85c3-581f-4760-b0d6-e91d9429ddc6,10/30/2017 4:32:39 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:32:39 PM,clark@ccber.ucsb.edu_ucsb,,-119.8763387,34.42009238
39,2017-10-30,,2,No,,,,unidentified hawks,,,Competition,d2ecc86f-a9cf-4b53-9330-c436c00e658c,10/30/2017 4:36:48 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 6:30:22 PM,clark@ccber.ucsb.edu_ucsb,,-119.8810438,34.41744068
40,2017-10-30,Mallard,4,Yes,Water - Floating,,,,,,Foraging/Hunting,01ec2b64-3693-487e-a0da-2e81da25fe2e,10/30/2017 4:37:27 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:37:27 PM,clark@ccber.ucsb.edu_ucsb,,-119.8774345,34.42039675
41,2017-10-30,Mallard,2,No,Water - Floating,,,,,,Foraging/Hunting,7d582a1b-a09f-46af-9513-bcac60007808,10/30/2017 4:37:47 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:37:47 PM,clark@ccber.ucsb.edu_ucsb,,-119.8773654,34.42038047
42,2017-10-30,Yellow-rumped Warbler,1,No,,,,,,,,3b994863-967a-44cb-8b40-336b89d5328b,10/30/2017 4:42:49 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:42:49 PM,clark@ccber.ucsb.edu_ucsb,,-119.8784795,34.42154749
43,2017-10-30,White-crowned Sparrow,1,No,Vegetation - Tree,,,,,,Foraging/Hunting,3ee2504d-2d54-4b01-80cf-fdf5516ba1f4,10/30/2017 4:43:11 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:43:11 PM,clark@ccber.ucsb.edu_ucsb,,-119.8782196,34.42133309
44,2017-10-30,House Finch,3,No,Vegetation - Tree,,,,,,Foraging/Hunting,51d29625-0875-44dc-9804-0022f3bc868f,10/30/2017 4:43:37 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:43:37 PM,clark@ccber.ucsb.edu_ucsb,,-119.8781923,34.42143089
45,2017-10-30,House Finch,1,No,Vegetation - Tree,,,,,,Foraging/Hunting,c1388d54-2a98-4c0d-a2d0-b17778e605f9,10/30/2017 4:44:17 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:44:17 PM,clark@ccber.ucsb.edu_ucsb,,-119.8788078,34.42129172
46,2017-10-30,,1,No,Bare ground,,,"ROWR, boulders",,,Foraging/Hunting,f74364d9-e349-49d2-8370-5064b169de4e,10/30/2017 4:44:58 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:49:03 PM,clark@ccber.ucsb.edu_ucsb,,-119.8788899,34.42143465
47,2017-10-30,Greater Yellowlegs,2,No,Water - Wading,,,,,,Foraging/Hunting,d53a73d0-6fb5-43d3-9f0d-71753ee0ae9b,10/30/2017 4:45:30 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:45:30 PM,clark@ccber.ucsb.edu_ucsb,,-119.8788534,34.42129924
48,2017-10-30,Song Sparrow,1,No,,,,boulders ,,,Foraging/Hunting,d05b03b2-ee41-426b-894f-18b9c86098ab,10/30/2017 4:46:09 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:49:41 PM,clark@ccber.ucsb.edu_ucsb,,-119.8788033,34.42136319
49,2017-10-30,Black Phoebe,1,No,,,,boulder,,,Foraging/Hunting,09a36efc-2c61-43f7-9a02-912d3024c584,10/30/2017 4:46:29 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:49:24 PM,clark@ccber.ucsb.edu_ucsb,,-119.8788261,34.42138951
50,2017-10-30,Scaly-breasted Munia,1,No,Bare ground,,,,,,Foraging/Hunting,1f600dfc-d698-4b78-a608-a4f2c3040dc9,10/30/2017 4:46:55 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:46:55 PM,clark@ccber.ucsb.edu_ucsb,,-119.8787759,34.42128044
51,2017-10-30,White-crowned Sparrow,1,No,,,,boulders,,,Foraging/Hunting,ffd46caa-e262-4d3a-a5fd-0be90c9cde7d,10/30/2017 4:47:18 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:48:45 PM,clark@ccber.ucsb.edu_ucsb,,-119.878697,34.42161693
52,2017-10-30,,2,No,Vegetation - Shrub,,,HOSP,,,Foraging/Hunting,73e8ef28-eed9-4694-a2c7-64caadebbbdb,10/30/2017 4:48:06 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:48:06 PM,clark@ccber.ucsb.edu_ucsb,,-119.8785237,34.42166958
53,2017-10-30,Say's Phoebe,1,No,Other,,,other structure,,,,5f09b3ec-2ee5-42d6-bf43-9d5b5e4d561f,10/30/2017 4:50:34 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:50:34 PM,clark@ccber.ucsb.edu_ucsb,,-119.8786145,34.42151696
54,2017-10-30,Say's Phoebe,1,No,Bare ground,,,,,,Foraging/Hunting,d81aaeae-fb37-40c1-8338-ba34da68993d,10/30/2017 4:50:57 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:50:57 PM,clark@ccber.ucsb.edu_ucsb,,-119.8786875,34.4214097
55,2017-10-30,White-crowned Sparrow,2,No,Vegetation - Herbaceous,,,,,,Foraging/Hunting,aaa95774-8dc9-44f2-81fb-2fa3a0bc6e7b,10/30/2017 4:53:41 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:53:41 PM,clark@ccber.ucsb.edu_ucsb,,-119.879388,34.42124148
56,2017-10-30,House Finch,1,No,Vegetation - Herbaceous,,,,,,Foraging/Hunting,fb825332-8b26-4107-866f-376bf4a8e51c,10/30/2017 4:54:48 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:54:48 PM,clark@ccber.ucsb.edu_ucsb,,-119.8794649,34.42126165
57,2017-10-30,White-crowned Sparrow,1,No,Vegetation - Herbaceous,,,,,,Foraging/Hunting,f49393fe-0d1a-483c-92db-6c18410c72eb,10/30/2017 4:55:05 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:55:05 PM,clark@ccber.ucsb.edu_ucsb,,-119.8794708,34.421255
58,2017-10-30,Song Sparrow,1,No,Vegetation - Herbaceous,,,,,,Foraging/Hunting,174c52a3-6374-4e45-8f18-e94c3ceb0fb1,10/30/2017 4:56:16 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:56:16 PM,clark@ccber.ucsb.edu_ucsb,,-119.8798572,34.42133227
59,2017-10-30,House Finch,3,No,Vegetation - Herbaceous,,,,,,Foraging/Hunting,bfbb6963-2aa1-4f7f-b91e-c476df9a3f13,10/30/2017 4:56:57 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 4:57:28 PM,clark@ccber.ucsb.edu_ucsb,,-119.8799787,34.42133027
60,2017-10-30,Mourning Dove,20,No,Vegetation - Tree,,,,,,Resting/Roosting,8d5845b4-9647-408c-8c14-4cc6659d7680,10/30/2017 4:58:12 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 5:06:29 PM,clark@ccber.ucsb.edu_ucsb,,-119.8811994,34.42196374
61,2017-10-30,,5,No,Vegetation - Tree,,,,,,Resting/Roosting,931f20b8-5e7a-4a0f-9d22-976343ca3436,10/30/2017 4:58:56 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 5:06:38 PM,clark@ccber.ucsb.edu_ucsb,,-119.8811806,34.42197498
62,2017-10-30,,5,No,Vegetation - Herbaceous,,,HOSP,,,Foraging/Hunting,3ec30d30-013f-4158-b46d-786cbee729f0,10/30/2017 5:01:25 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 5:01:25 PM,clark@ccber.ucsb.edu_ucsb,,-119.8801893,34.42134764
63,2017-10-30,American Kestrel,1,No,,,,kestrel harassing redtail,,,,17f741b1-f1c9-450c-b0c8-0961a50da9e4,10/30/2017 5:02:49 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 5:02:49 PM,clark@ccber.ucsb.edu_ucsb,,-119.8804474,34.42177608
64,2017-10-30,Red-tailed Hawk,1,No,,,,kestrel harassing redtail,,,,96b70266-f8ef-4c2c-a249-f711430a8e6a,10/30/2017 5:03:23 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 5:03:23 PM,clark@ccber.ucsb.edu_ucsb,,-119.880441,34.42175058
65,2017-10-30,California Towhee,1,No,Bare ground,,,,,,Foraging/Hunting,41ae6c73-791b-4c94-9e2f-cbc02292676d,10/30/2017 5:04:45 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 5:04:45 PM,clark@ccber.ucsb.edu_ucsb,,-119.8807333,34.42187429
66,2017-10-30,Anna's Hummingbird,2,No,Vegetation - Tree,,,,,,Foraging/Hunting,d3fe9293-427f-4f83-a5d5-b5f899fbf8e3,10/30/2017 5:05:23 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 5:05:23 PM,clark@ccber.ucsb.edu_ucsb,,-119.8807665,34.4219139
67,2017-10-30,,5,No,Water - Floating,,,Greater White Fronted Goose,,,Foraging/Hunting,6da0b4e7-2f37-4083-8273-7ad9e2552775,10/30/2017 5:19:15 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 5:19:15 PM,clark@ccber.ucsb.edu_ucsb,,-119.878686,34.42105842
68,2017-10-30,,1,No,Water - Floating,,,cackling goose ,,,Foraging/Hunting,afa6b0a4-5eff-40ca-a3a0-e798da23b41f,10/30/2017 5:19:50 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 5:19:50 PM,clark@ccber.ucsb.edu_ucsb,,-119.8786107,34.42103368
69,2017-10-30,,2,No,Bare ground,,,Turkey Vulture,,,Foraging/Hunting,b360a69d-9c7a-455a-a14e-18480d7b9af6,10/30/2017 5:20:23 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 5:20:23 PM,clark@ccber.ucsb.edu_ucsb,,-119.8788052,34.4216108
70,2017-10-30,Least Sandpiper,14,No,Water - Wading,,,,,,Foraging/Hunting,1e35e226-4d49-4dda-90ae-4feaf1e15fce,10/30/2017 2:52:36 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 2:52:36 PM,clark@ccber.ucsb.edu_ucsb,,-119.8743744,34.41777061
71,2017-10-30,Western Sandpiper,5,No,Water - Wading,,,,,,Foraging/Hunting,81d0fb08-6a2a-4276-b8d7-d3554658cacb,10/30/2017 2:53:58 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 2:53:58 PM,clark@ccber.ucsb.edu_ucsb,,-119.8742327,34.41773163
72,2017-10-30,,1,No,Water - Wading,,,Dunlin ,,,Foraging/Hunting,2b911ee1-47f5-4a73-b1aa-5523642a3b48,10/30/2017 2:55:14 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 2:55:14 PM,clark@ccber.ucsb.edu_ucsb,,-119.8742642,34.41764501
73,2017-10-30,Black Phoebe,1,No,Mud,,,,,,Foraging/Hunting,2895593b-4b7d-486e-87c3-6eb47df47fb0,10/30/2017 3:03:15 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:03:15 PM,clark@ccber.ucsb.edu_ucsb,,-119.8743639,34.4177143
74,2017-10-30,White-crowned Sparrow,3,No,Habitat Feature - Log,,,,,,Feeding/Begging,9a3489eb-28dc-4d83-9a8a-ff5fb41e02e5,10/30/2017 3:04:55 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:04:55 PM,clark@ccber.ucsb.edu_ucsb,,-119.8747314,34.41758438
75,2017-10-30,American Crow,24,No,Fence,,,moving between tree and ground,,,Feeding/Begging,0626d256-ae78-46d4-ad6b-a66acfc66678,10/30/2017 3:07:04 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:07:04 PM,clark@ccber.ucsb.edu_ucsb,,-119.8756081,34.41770564
76,2017-10-30,Rock Dove,9,No,Bare ground,,,hydroseed,,,,edfcb51a-8eec-468a-a93f-842b2b7ad741,10/30/2017 3:07:49 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:07:49 PM,clark@ccber.ucsb.edu_ucsb,,-119.8751532,34.41755127
77,2017-10-30,Rock Dove,9,No,Bare ground,,,,,,Feeding/Begging,0ac5c7d0-2249-487d-8020-37455f6232b1,10/30/2017 3:11:22 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:11:22 PM,clark@ccber.ucsb.edu_ucsb,,-119.8748677,34.41772513
78,2017-10-30,Anna's Hummingbird,2,No,Vegetation - Tree,,,display,,,Other,91606427-293f-407a-abb6-0773870e2ff0,10/30/2017 3:13:48 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:13:48 PM,clark@ccber.ucsb.edu_ucsb,,-119.8763008,34.41768533
79,2017-10-30,California Towhee,2,No,Bare ground,,,one in tree,,,Foraging/Hunting,4b58ed14-e937-4447-a836-56754b769b13,10/30/2017 3:14:42 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:14:42 PM,clark@ccber.ucsb.edu_ucsb,,-119.8762633,34.41777078
80,2017-10-30,Killdeer,24,No,Mud,,,,,,Resting/Roosting,c783aa91-f4be-4fc0-8841-072c421b9d80,10/30/2017 3:18:19 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:23:57 PM,clark@ccber.ucsb.edu_ucsb,,-119.8754295,34.41868032
81,2017-10-30,Semipalmated Plover,2,No,Mud,,,,,,Resting/Roosting,c3db817c-2857-41cb-b12b-8b821a20b724,10/30/2017 3:26:21 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:26:21 PM,clark@ccber.ucsb.edu_ucsb,,-119.8753027,34.4186552
82,2017-10-30,Say's Phoebe,1,No,Fence,,,,,,Foraging/Hunting,cda9af35-4de2-4ccf-90d1-a3883a35a219,10/30/2017 3:30:44 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:30:44 PM,clark@ccber.ucsb.edu_ucsb,,-119.8769451,34.41896446
83,2017-10-30,Ruby-crowned Kinglet,1,No,Vegetation - Tree,,,,,,Resting/Roosting,f2b12cb0-f38a-4128-9165-c13418c6b36a,10/30/2017 3:33:39 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:33:39 PM,clark@ccber.ucsb.edu_ucsb,,-119.8772308,34.41785265
84,2017-10-30,Blue-gray Gnatcatcher,,No,Vegetation - Tree,,,,,,Resting/Roosting,fc1342dc-44b5-4c39-bf55-146965a15d54,10/30/2017 3:34:28 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:34:28 PM,clark@ccber.ucsb.edu_ucsb,,-119.8774451,34.41773086
85,2017-10-30,Bewick's Wren,1,No,Vegetation - Tree,,,,,,Resting/Roosting,3487b9b6-ce5f-475d-86a4-8b50a5ea06f6,10/30/2017 3:35:03 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:35:03 PM,clark@ccber.ucsb.edu_ucsb,,-119.8778642,34.41775444
86,2017-10-30,Anna's Hummingbird,1,No,Vegetation - Shrub,,,,,,Resting/Roosting,1eca06e3-0fd2-4633-9e9c-32762d0fe40a,10/30/2017 3:36:07 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:36:07 PM,clark@ccber.ucsb.edu_ucsb,,-119.8785976,34.41784872
87,2017-10-30,Anna's Hummingbird,2,No,Vegetation - Tree,,,display,,,Other,112d11b4-9e4e-43be-afc1-ff9185960fb6,10/30/2017 3:37:19 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:37:19 PM,clark@ccber.ucsb.edu_ucsb,,-119.8776737,34.41773872
88,2017-10-30,White-crowned Sparrow,10,No,Habitat Feature - Log,,,,,,Foraging/Hunting,f7d323c7-78e3-4845-b7b9-d9295c021ae7,10/30/2017 3:40:10 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:42:53 PM,clark@ccber.ucsb.edu_ucsb,,-119.8793406,34.41773512
89,2017-10-30,Western Meadowlark,1,No,Habitat Feature - Hibernacula,,,,,,Resting/Roosting,7ca59a47-32fa-44c9-80b6-849f3ed99bf6,10/30/2017 3:45:45 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:48:02 PM,clark@ccber.ucsb.edu_ucsb,,-119.879312,34.41812799
90,2017-10-30,Killdeer,63,No,Bare ground,,,,,,Feeding/Begging,baa72118-5046-496a-916b-872b0853ad15,10/30/2017 3:47:31 PM,clark@ccber.ucsb.edu_ucsb,10/30/2017 3:49:37 PM,clark@ccber.ucsb.edu_ucsb,,-119.8791024,34.41834013
