OBJECTID,Date,Time,Common Name,Scientific Name,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Observers,x,y,GlobalID
29,8/14/2019,8:42,Loggerhead Shrike,Lanius ludovicianus,1,Yes,Habitat Feature - Snag,,,,"WEST: Darwin, Beau, Eirik",-119.8810136,34.42000309,01e003ac-996b-4708-b3ff-d52ec50e86a7
30,8/14/2019,8:46,Northern Mockingbird,Mimus polyglottos,4,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8817979,34.42089081,61e4946e-62cc-4ac3-9ad6-e23c9e5cb483
31,8/14/2019,8:46,Anna's Hummingbird,Calypte anna,1,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8817535,34.42081458,26c2c721-1dbc-458b-aa3b-15d2f35eaee5
32,8/14/2019,8:51,Cooper's Hawk,Accipiter cooperii,1,No,Habitat Feature - Snag,,,,"WEST: Darwin, Beau, Eirik",-119.8831884,34.42054989,fb6ca089-a869-47c2-b8f2-1b718e205286
33,8/14/2019,8:52,Hooded Oriole,Icterus cucullatus,1,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8817997,34.4208294,2d8c77b7-2caa-4de5-9f6d-2d3fba23a187
34,8/14/2019,8:54,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8833706,34.42089081,2bf7083d-c8ef-44c2-b8f7-e2445de2362f
35,8/14/2019,8:59,House Wren,Troglodytes aedon,1,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8842496,34.42073623,796627f7-4f5c-4b41-a267-30f5aabe55a1
36,8/14/2019,9:00,Mourning Dove,Zenaida macroura,2,No,Flyover,,,,"WEST: Darwin, Beau, Eirik",-119.883826,34.42105809,39b4dc33-cd1f-4684-b629-b08f91dbe2bc
37,8/14/2019,9:01,Song Sparrow,Melospiza melodia,4,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8839082,34.42128042,3fcbce86-8546-4ae0-9fe9-c1ab18565501
38,8/14/2019,9:02,Common Yellowthroat,Geothlypis trichas,2,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8837978,34.42124472,cc97b6dc-1821-41ad-8341-4693043f7a42
39,8/14/2019,9:02,Oak Titmouse,Baeolophus inornatus,1,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8845371,34.42118755,804c8aeb-8d90-4be1-b164-5e85b80bb4f0
40,8/14/2019,9:04,Scaly-breasted Munia,Lonchura punctulata,1,No,,,,,"WEST: Darwin, Beau, Eirik",-119.884134,34.42134,29aa0d25-29c6-48e6-beac-2c92f3a01138
41,8/14/2019,9:05,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Shrub,,,,"WEST: Darwin, Beau, Eirik",-119.8841418,34.42181432,4ac5dc4a-9161-4fd0-a06e-fa5053017c3a
42,8/14/2019,9:09,Mourning Dove,Zenaida macroura,1,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8828724,34.42175742,5b9331c7-8d54-4cb4-97cf-e6ac38dd3a35
43,8/14/2019,9:12,Greater Yellowlegs,Tringa melanoleuca,5,No,Water - Wading,,,,"WEST: Darwin, Beau, Eirik",-119.8824746,34.42123229,f43bc61c-5be6-4b79-b975-36d35aeaab21
44,8/14/2019,9:12,Snowy Egret,Egretta thula,1,No,Water - Wading,,,,"WEST: Darwin, Beau, Eirik",-119.8823411,34.42125135,9ac083da-852c-4bcc-b1de-f66663445c63
45,8/14/2019,9:13,Common Yellowthroat,Geothlypis trichas,3,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.88297,34.42121525,2122c804-0ecf-4251-87fc-504aa5724ac2
46,8/14/2019,9:13,Song Sparrow,Melospiza melodia,1,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8821033,34.42170833,b9e53633-9448-4a9b-b46b-2e2e0bb8106e
47,8/14/2019,9:13,Anna's Hummingbird,Calypte anna,1,No,Vegetation - Shrub,,,,"WEST: Darwin, Beau, Eirik",-119.8818534,34.42183778,311caee8-dfc3-4fae-892b-5070e0c935f7
48,8/14/2019,9:14,Black Phoebe,Sayornis nigricans,2,No,Vegetation - Herbaceous,,,,"WEST: Darwin, Beau, Eirik",-119.8815787,34.42161333,fe407fc0-6044-40f3-bfae-235b7f1fc12f
49,8/14/2019,9:21,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2,No,,,,,"WEST: Darwin, Beau, Eirik",-119.8785607,34.42018663,c2aeae2d-b10b-410c-9a99-97efc9906629
50,8/14/2019,9:21,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8826158,34.4218797,9b89088c-2253-48db-ba56-d2fc799918ac
51,8/14/2019,9:22,Cliff Swallow,Petrochelidon pyrrhonota,2,No,,,,,"WEST: Darwin, Beau, Eirik",-119.8821485,34.42062596,bf8427da-f604-4db9-bc7b-65983b14ab37
52,8/14/2019,9:26,White-breasted Nuthatch,Sitta carolinensis,1,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8824438,34.42176324,de65161a-4a54-4e03-be09-5aeb85e6cb24
53,8/14/2019,9:28,Hooded Oriole,Icterus cucullatus,1,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8826132,34.42175477,3de2bc5f-52b5-4d05-a8eb-6763ca80bb0c
54,8/14/2019,9:57,American Crow,Corvus brachyrhynchos,6,No,Bare ground,,,,"WEST: Darwin, Beau, Eirik",-119.8734251,34.42013945,27e5e6ef-05ce-4713-8f20-f78afbc8bdef
55,8/14/2019,9:57,Red-shouldered Hawk,Buteo lineatus,1,No,Vegetation - Tree,,,,"WEST: Darwin, Beau, Eirik",-119.8727384,34.42059202,0f3b9f64-744c-4673-a95b-ae315753d421
56,8/14/2019,7:07,Mallard,Anas platyrhynchos,41,No,Water - Floating,,,,"EAST: Mark, Lisa, Steven",-119.8748373,34.41863231,94ace641-d0c0-42cb-bde6-1f866ff4bae0
57,8/14/2019,7:08,Song Sparrow,Melospiza melodia,2,No,Fence,,Other,close assoc adult and juv,"EAST: Mark, Lisa, Steven",-119.8736846,34.41803072,90bdebc5-54b8-4ff2-9d78-3bc9608623a5
58,8/14/2019,7:12,California Towhee,Melozone crissalis,1,No,Bare ground,,,,"EAST: Mark, Lisa, Steven",-119.873961,34.41838003,350ff885-143a-49a1-bfc8-3f5a038aa4cc
59,8/14/2019,7:15,Black Phoebe,Sayornis nigricans,2,No,Fence,,,,"EAST: Mark, Lisa, Steven",-119.8736257,34.41869538,ea92aa91-0c72-420f-bc22-582c306a4206
60,8/14/2019,7:23,Gadwall,Mareca strepera,3,No,Water - Wading,,,,"EAST: Mark, Lisa, Steven",-119.8753548,34.41915627,75b3659e-b54b-4f07-a222-990db30d750b
61,8/14/2019,7:23,Song Sparrow,Melospiza melodia,2,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8737878,34.4189333,a4eb887e-819b-4096-8de1-8521d481de9d
62,8/14/2019,7:23,House Wren,Troglodytes aedon,1,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8738935,34.41914695,347545a1-edd8-4596-9c33-eb4d4b9799a3
63,8/14/2019,7:24,Song Sparrow,Melospiza melodia,1,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8740151,34.41922108,a54facaa-32a6-4c2d-92e0-2bd61e27389e
64,8/14/2019,7:26,Common Yellowthroat,Geothlypis trichas,1,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8743983,34.41908155,a9d632de-9f8a-41f8-8b06-02bf6cdcaba4
65,8/14/2019,7:26,House Finch,Haemorhous mexicanus,4,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8739781,34.41904013,bc81ce12-26c1-44fc-bffc-54131851b9f6
66,8/14/2019,7:27,Snowy Egret,Egretta thula,1,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8757487,34.41969634,e9e3055a-521c-404f-a7f3-53509f90b4a9
67,8/14/2019,7:27,Snowy Egret,Egretta thula,1,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8750272,34.41849073,2d7f974c-9ea7-4cf8-89dc-2e5678076381
68,8/14/2019,7:28,Least Sandpiper,Calidris minutilla,2,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8754395,34.41950885,94dd8370-3b94-401b-8e94-b99113812e71
69,8/14/2019,7:29,Pied-billed Grebe,Podilymbus podiceps,1,No,Water - Floating,,,,"EAST: Mark, Lisa, Steven",-119.8756113,34.41963748,f84df9ed-2942-49b6-82a7-a1ea5f1fbb38
70,8/14/2019,7:29,Red-necked Phalarope,Phalaropus lobatus,1,No,Water - Wading,,,,"EAST: Mark, Lisa, Steven",-119.8755505,34.41969416,f522cf84-7789-4732-ac18-8b5ca0e4db47
71,8/14/2019,7:32,Canada Goose,Branta canadensis,5,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8780929,34.4208834,41914804-3b3c-4222-9c00-d7a0478624d4
72,8/14/2019,7:37,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8729908,34.42029739,eeddb31c-1db9-4940-bc0c-f2ff39c64434
73,8/14/2019,7:38,House Finch,Haemorhous mexicanus,5,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8733386,34.42027968,e88387c4-8a36-4e57-aa9e-3d941ab887e6
74,8/14/2019,7:38,Snowy Egret,Egretta thula,1,Yes,Bridge,,,,"EAST: Mark, Lisa, Steven",-119.8738678,34.42093184,d1bbe39b-ce6f-4efd-ae89-a4f462ae5e1d
75,8/14/2019,7:38,Mallard,Anas platyrhynchos,17,No,Water - Wading,,,,"EAST: Mark, Lisa, Steven",-119.8733588,34.42095545,f2527205-8a4a-4f70-91d7-e60700ee2a4d
76,8/14/2019,7:42,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8718189,34.42068672,cb4247c0-6cab-468f-a39f-436ad01da6f9
77,8/14/2019,7:44,Western Bluebird,Sialia mexicana,3,No,Fence,,,,"EAST: Mark, Lisa, Steven",-119.871405,34.42068566,53c23221-349f-4830-8677-23dc70939b38
78,8/14/2019,7:45,House Finch,Haemorhous mexicanus,1,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8715775,34.42063202,1b700533-951e-45aa-8f5a-9fa50589da23
79,8/14/2019,7:45,Anna's Hummingbird,Calypte anna,2,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8714513,34.4206299,e53601b8-bc54-4e98-9bf7-64b7b0971681
80,8/14/2019,7:46,Lesser Goldfinch,Spinus psaltria,2,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8718569,34.42101971,e1b9903a-438e-48ee-a8bf-c241ec092169
81,8/14/2019,7:46,Song Sparrow,Melospiza melodia,2,No,Vegetation - Herbaceous,,,,"EAST: Mark, Lisa, Steven",-119.8713981,34.42098472,48a323e6-69cd-479e-ae4f-7b590a8aa256
82,8/14/2019,7:50,Scaly-breasted Munia,Lonchura punctulata,1,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8706071,34.42121396,1c3875f7-fbb5-4107-ab53-954f9725c519
83,8/14/2019,7:50,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),4,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8707209,34.42112065,acbc4114-4451-4e13-a18d-e115d716c52e
84,8/14/2019,7:51,Anna's Hummingbird,Calypte anna,1,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8705183,34.42118741,3e69be6c-bed1-4828-9229-ddaaffd1b8ac
85,8/14/2019,7:51,Western Bluebird,Sialia mexicana,1,No,Building,,,,"EAST: Mark, Lisa, Steven",-119.870329,34.42081247,a432709c-5021-4ba2-bcb0-26dcdfc67983
86,8/14/2019,7:51,Common Yellowthroat,Geothlypis trichas,1,No,Vegetation - Herbaceous,,,,"EAST: Mark, Lisa, Steven",-119.8703354,34.42103552,64c404ef-27c1-47ba-8ce8-3daba0c288ff
87,8/14/2019,7:56,American Crow,Corvus brachyrhynchos,1,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8712792,34.42135629,f190e728-4458-49d8-bafc-add7d940e7d1
88,8/14/2019,7:59,Anna's Hummingbird,Calypte anna,1,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8722813,34.42240656,43ed2cb3-328e-452d-9546-28df646f45b5
89,8/14/2019,7:59,Common Yellowthroat,Geothlypis trichas,1,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8724435,34.42223556,3d59920f-9082-481c-b463-5bcf6e4f572d
90,8/14/2019,7:59,American Crow,Corvus brachyrhynchos,1,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8725923,34.42227273,a045c72a-9223-4b1d-a2fb-800864b77c65
91,8/14/2019,8:00,Song Sparrow,Melospiza melodia,2,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8721958,34.42245967,5ace95e1-7783-4518-a60b-549cd53812b2
92,8/14/2019,8:01,Cliff Swallow,Petrochelidon pyrrhonota,3,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8723889,34.42259456,28e586d2-f227-43f3-975a-fa74100ca53d
93,8/14/2019,8:03,Scaly-breasted Munia,Lonchura punctulata,5,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8722498,34.4223234,9e0ad9dc-c723-448b-abac-6764f2d1ebe5
94,8/14/2019,8:04,Selasphorus sp.,Selasphorus sp.,1,No,Vegetation - Herbaceous,,,,"EAST: Mark, Lisa, Steven",-119.8726117,34.42210325,cc8a5610-0a04-4cd3-925c-648cc1fb6ad0
95,8/14/2019,8:05,House Finch,Haemorhous mexicanus,1,No,Bare ground,,,,"EAST: Mark, Lisa, Steven",-119.8726001,34.4220289,b6a508e4-0c31-4bcd-9dd8-9d0e925560bb
96,8/14/2019,8:08,Scaly-breasted Munia,Lonchura punctulata,15,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8728357,34.4219896,e8320530-0712-45b8-9a9e-e46c111a094e
97,8/14/2019,8:08,Song Sparrow,Melospiza melodia,2,No,Vegetation - Herbaceous,,,,"EAST: Mark, Lisa, Steven",-119.8729593,34.42193331,85e651ec-690b-419b-ba44-19cc1441dbaa
98,8/14/2019,8:10,Mallard,Anas platyrhynchos,12,No,Water - Floating,,,,"EAST: Mark, Lisa, Steven",-119.8734435,34.42175275,d7f47d69-8ce9-453f-b009-bcd867f6cb3c
99,8/14/2019,8:10,Cliff Swallow,Petrochelidon pyrrhonota,3,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8734306,34.42180691,12f2e2c9-645c-4acd-8082-54fd608afb71
100,8/14/2019,8:12,Sora,Porzana carolina,1,No,Vegetation - Herbaceous,,,adult,"EAST: Mark, Lisa, Steven",-119.8732683,34.42187383,fa0067fd-2b73-4a29-9f34-4733cd177876
101,8/14/2019,8:12,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Herbaceous,,,,"EAST: Mark, Lisa, Steven",-119.8733095,34.42184621,6d9930dd-4b34-44b4-a900-0e1404d190f1
102,8/14/2019,8:13,Common Yellowthroat,Geothlypis trichas,1,No,Vegetation - Herbaceous,,,,"EAST: Mark, Lisa, Steven",-119.8733211,34.42188445,112a36ae-7919-410b-928b-b27f94970ba5
103,8/14/2019,8:16,Song Sparrow,Melospiza melodia,1,No,Fence,,,,"EAST: Mark, Lisa, Steven",-119.8738058,34.42157638,74299e7b-9da5-44ed-bf99-718daa089abb
104,8/14/2019,8:16,Bewick's Wren,Thryomanes bewickii,1,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.873762,34.42170808,c5803286-8611-46c2-84ad-b190efb2d751
105,8/14/2019,8:17,House Finch,Haemorhous mexicanus,3,No,Vegetation - Herbaceous,,,,"EAST: Mark, Lisa, Steven",-119.8741084,34.42161886,22684833-294b-42b8-a956-3b2da0936951
106,8/14/2019,8:17,Song Sparrow,Melospiza melodia,2,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8737775,34.42162736,f0d17992-b542-42c4-b942-a40e7e391212
107,8/14/2019,8:21,Anna's Hummingbird,Calypte anna,1,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8748223,34.42153597,d56ba2fa-9bb6-494a-8e4f-bdb6304302ce
108,8/14/2019,8:22,House Finch,Haemorhous mexicanus,1,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8751314,34.42140639,27efe22b-a02f-484c-b6d6-6ca8590874d2
109,8/14/2019,8:24,Ash-throated Flycatcher,Myiarchus cinerascens,1,No,Fence,,,,"EAST: Mark, Lisa, Steven",-119.8753747,34.42098578,3bb19e87-4151-455a-a8a3-dddc991e662e
110,8/14/2019,8:26,Double-crested Cormorant,Phalacrocorax auritus,1,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.875904,34.41940186,c9365ae8-22e1-42c3-97f5-d7dcd70bc1b1
111,8/14/2019,8:26,Killdeer,Charadrius vociferus,2,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8757068,34.4198531,fd875aff-a645-4634-94dc-378dcbcffa9f
112,8/14/2019,8:27,Cinnamon Teal,Spatula cyanoptera,1,No,Air,,,,"EAST: Mark, Lisa, Steven",-119.8768465,34.42004341,c052ba86-2a96-41d5-8b00-92779c8549ed
113,8/14/2019,8:29,Canada Goose,Branta canadensis,1,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8753054,34.41942764,63c91055-8740-4dd0-85ad-f4996e28d945
114,8/14/2019,8:30,Scaly-breasted Munia,Lonchura punctulata,1,No,Vegetation - Tree,,,,"EAST: Mark, Lisa, Steven",-119.8764391,34.42073145,42234e04-e8d7-463e-87d4-1bc50ebdc060
115,8/14/2019,8:31,Cinnamon Teal,Spatula cyanoptera,1,Yes,Water - Floating,,,,"EAST: Mark, Lisa, Steven",-119.8768197,34.41979621,d73ae34b-ce37-4213-89ae-b002c94bc081
116,8/14/2019,8:34,Gadwall,Mareca strepera,14,No,Water - Floating,,,,"EAST: Mark, Lisa, Steven",-119.8769276,34.41995236,c82530eb-9cc5-4d6b-bceb-36534ee69ef8
117,8/14/2019,8:35,Killdeer,Charadrius vociferus,2,Yes,,,,Changed repeat observation to Yes after post-survey review.,"EAST: Mark, Lisa, Steven",-119.8777622,34.42046784,419aa600-fdb3-439f-8dad-6f1d19e81604
118,8/14/2019,8:35,Great Blue Heron,Ardea herodias,1,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8788552,34.4210001,2fa324cb-5f8d-402a-9e80-911c327cb74a
119,8/14/2019,8:35,Snowy Egret,Egretta thula,2,Yes,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8788756,34.42088089,c16af6ac-43ca-4945-87a6-6f32f9958c0c
120,8/14/2019,8:37,Mallard,Anas platyrhynchos,20,No,Water - Floating,,,,"EAST: Mark, Lisa, Steven",-119.8776807,34.42066429,494ebea3-09b4-423f-9996-a854f6ebda7c
121,8/14/2019,8:39,Mallard,Anas platyrhynchos,40,No,Water - Wading,,,,"EAST: Mark, Lisa, Steven",-119.8789672,34.4211126,8797726a-ca25-476a-8fc8-9bc96b6ba66e
122,8/14/2019,8:39,Greater Yellowlegs,Tringa melanoleuca,1,No,Water - Wading,,,,"EAST: Mark, Lisa, Steven",-119.8784949,34.42063239,397e3b02-d2ae-481b-bc15-b66648e4477f
123,8/14/2019,8:41,Long-billed Curlew,Numenius americanus,1,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8774609,34.4203822,b033a335-3a8a-4ba4-8a91-0dcb46b694d0
124,8/14/2019,8:43,Red-necked Phalarope,Phalaropus lobatus,1,Yes,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8781591,34.42098667,dcb51579-8294-439c-88dd-6aeb3be10aa5
125,8/14/2019,8:45,Greater Yellowlegs,Tringa melanoleuca,1,No,Mud,,,,"EAST: Mark, Lisa, Steven",-119.8791992,34.42090608,b7ce112e-12d3-4fed-92cc-dfd109f2e9dc
126,8/14/2019,8:46,Common Yellowthroat,Geothlypis trichas,1,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.877522,34.4212973,d1a11e48-419d-4371-b6e7-6cfdbde15609
127,8/14/2019,8:47,Cassin's Kingbird,Tyrannus vociferans,1,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8776299,34.42140476,1bfd06da-b5ea-4d58-ad3c-d555a349d4b7
128,8/14/2019,8:47,House Finch,Haemorhous mexicanus,3,No,Vegetation - Shrub,,,,"EAST: Mark, Lisa, Steven",-119.8773795,34.42133592,2e18244a-4056-49e7-bb5d-92ac0513ad3f
129,8/14/2019,8:47,Song Sparrow,Melospiza melodia,4,No,Vegetation - Shrub,,Feeding/Begging,,"EAST: Mark, Lisa, Steven",-119.8779067,34.42122689,c564b132-be43-4622-9a28-5af516621816
130,8/14/2019,8:50,House Sparrow,Passer domesticus,1,No,Fence,,,,"EAST: Mark, Lisa, Steven",-119.8780207,34.42129741,34403481-554a-467e-b18a-066c3c7674b9
