OBJECTID,Date,Time,Common Name,Scientific Name,Count,Repeat Observation,Substrate,Sex,Breeding Activity,Observation Notes,Water Level,Observers,Starting Time,Ending Time,Starting Temp (F),Starting % Cloud Cover,Starting Cloud Height,Starting Wind Speed,Starting Wind Direction,Starting Rain,Ending Temp (F),Ending % Cloud Cover,Ending Cloud Height,Ending Wind Speed,Ending Wind Direction,Ending Rain,Weather Note,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
11,8/14/2019,7:58,Killdeer,Charadrius vociferus,6,No,Bare ground,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,ee3fe054-59ba-4642-bf52-fe597ef0fb04,8/14/2019 14:58,clark@ccber.ucsb.edu_ucsb,8/14/2019 14:58,clark@ccber.ucsb.edu_ucsb,-119.8792208,34.41984791
12,8/14/2019,8:09,Yellow Warbler,Setophaga petechia,1,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,0d841ec2-0a96-4a9a-9ed4-1609e18fa244,8/14/2019 15:09,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:09,clark@ccber.ucsb.edu_ucsb,-119.8778329,34.41945269
13,8/14/2019,8:10,House Wren,Troglodytes aedon,1,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,f636c0ee-2a04-4ae6-a895-f140b368a9a6,8/14/2019 15:10,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:10,clark@ccber.ucsb.edu_ucsb,-119.8776459,34.41932207
14,8/14/2019,8:10,California Towhee,Melozone crissalis,1,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,445564f0-1eda-4641-b9d4-b6c9a7d21833,8/14/2019 15:10,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:10,clark@ccber.ucsb.edu_ucsb,-119.8777377,34.41939458
15,8/14/2019,8:12,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,35775ec0-477c-4e58-80c2-6bf144024306,8/14/2019 15:12,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:12,clark@ccber.ucsb.edu_ucsb,-119.877226,34.4199102
16,8/14/2019,8:17,Pied-billed Grebe,Podilymbus podiceps,1,Yes,Water - Floating,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,f66500ff-165c-4b29-8a17-90efa14e1087,8/14/2019 15:17,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:17,clark@ccber.ucsb.edu_ucsb,-119.8770306,34.42010548
17,8/14/2019,8:17,Savannah Sparrow (Belding's),Passerculus sandwichensis beldingi,1,No,Bare ground,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,4c25bb25-abc2-4222-99e0-8d65f1588c36,8/14/2019 15:17,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:17,clark@ccber.ucsb.edu_ucsb,-119.8773647,34.41996369
18,8/14/2019,8:21,Gadwall,Mareca strepera,15,Yes,Water - Floating,,,9 juveniles ,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,199211c9-c4a5-4c12-aca6-84a6595b03a6,8/14/2019 15:21,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:21,clark@ccber.ucsb.edu_ucsb,-119.8785698,34.42095141
19,8/14/2019,8:22,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,09f04aa3-ed7f-4255-a2f0-8c81cee1cb26,8/14/2019 15:22,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:37,clark@ccber.ucsb.edu_ucsb,-119.8786399,34.42060018
20,8/14/2019,8:23,Mallard,Anas platyrhynchos,55,Yes,Water - Floating,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,8d93cb32-6055-43a8-97fa-63bbd26a6a54,8/14/2019 15:23,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:24,clark@ccber.ucsb.edu_ucsb,-119.8784136,34.42094497
21,8/14/2019,8:23,Red-necked Phalarope,Phalaropus lobatus,1,Yes,Water - Wading,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,eaa21a88-b8e2-41e0-a4b3-6db76eff7f46,8/14/2019 15:23,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:24,clark@ccber.ucsb.edu_ucsb,-119.8785112,34.42103842
22,8/14/2019,8:24,Killdeer,Charadrius vociferus,2,Yes,Bare ground,,,Changed repeat observation to Yes after post-survey review.,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,feb0f06d-2a58-4d82-a718-252d5f27640b,8/14/2019 15:24,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:27,clark@ccber.ucsb.edu_ucsb,-119.8787595,34.42079834
23,8/14/2019,8:25,Great Blue Heron,Ardea herodias,1,Yes,Water - Wading,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,d319e35b-5054-46df-9de7-1738811e37f4,8/14/2019 15:25,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:25,clark@ccber.ucsb.edu_ucsb,-119.8786814,34.42099814
24,8/14/2019,8:25,Snowy Egret,Egretta thula,1,Yes,Water - Wading,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,3bd2e230-79b2-4a98-ac9b-1eb902c08a93,8/14/2019 15:25,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:37,clark@ccber.ucsb.edu_ucsb,-119.8785617,34.42069779
25,8/14/2019,8:33,Savannah Sparrow (Belding's),Passerculus sandwichensis beldingi,4,No,Vegetation - Herbaceous,,,juvenile ,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,14f62989-39fe-429f-9e40-c921fd55fbfe,8/14/2019 15:33,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:34,clark@ccber.ucsb.edu_ucsb,-119.8785561,34.42046555
26,8/14/2019,8:36,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,1f974fe3-1e2d-452b-b9cf-af3ec20872c7,8/14/2019 15:36,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:37,clark@ccber.ucsb.edu_ucsb,-119.8785012,34.42029079
27,8/14/2019,8:40,Black Phoebe,Sayornis nigricans,2,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,26d22628-e136-4b41-8a4e-65723eb71ed9,8/14/2019 15:40,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:40,clark@ccber.ucsb.edu_ucsb,-119.8797982,34.4210884
28,8/14/2019,8:41,Song Sparrow,Melospiza melodia,1,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,e9ee98bf-d3bb-4534-a127-8d2366a4a894,8/14/2019 15:41,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:41,clark@ccber.ucsb.edu_ucsb,-119.8803748,34.42131469
29,8/14/2019,8:42,Loggerhead Shrike,Lanius ludovicianus,1,Yes,Habitat Feature - Snag,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,01e003ac-996b-4708-b3ff-d52ec50e86a7,8/14/2019 15:42,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:42,clark@ccber.ucsb.edu_ucsb,-119.8810136,34.42000309
30,8/14/2019,8:46,Northern Mockingbird,Mimus polyglottos,4,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,61e4946e-62cc-4ac3-9ad6-e23c9e5cb483,8/14/2019 15:46,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:46,clark@ccber.ucsb.edu_ucsb,-119.8817979,34.42089081
31,8/14/2019,8:46,Anna's Hummingbird,Calypte anna,1,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,26c2c721-1dbc-458b-aa3b-15d2f35eaee5,8/14/2019 15:46,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:46,clark@ccber.ucsb.edu_ucsb,-119.8817535,34.42081458
32,8/14/2019,8:51,Cooper's Hawk,Accipiter cooperii,1,No,Habitat Feature - Snag,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,fb6ca089-a869-47c2-b8f2-1b718e205286,8/14/2019 15:51,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:51,clark@ccber.ucsb.edu_ucsb,-119.8831884,34.42054989
33,8/14/2019,8:52,Hooded Oriole,Icterus cucullatus,1,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,2d8c77b7-2caa-4de5-9f6d-2d3fba23a187,8/14/2019 15:52,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:52,clark@ccber.ucsb.edu_ucsb,-119.8817997,34.4208294
34,8/14/2019,8:54,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,2bf7083d-c8ef-44c2-b8f7-e2445de2362f,8/14/2019 15:54,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:54,clark@ccber.ucsb.edu_ucsb,-119.8833706,34.42089081
35,8/14/2019,8:59,House Wren,Troglodytes aedon,1,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,796627f7-4f5c-4b41-a267-30f5aabe55a1,8/14/2019 15:59,clark@ccber.ucsb.edu_ucsb,8/14/2019 15:59,clark@ccber.ucsb.edu_ucsb,-119.8842496,34.42073623
36,8/14/2019,9:00,Mourning Dove,Zenaida macroura,2,No,Flyover,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,39b4dc33-cd1f-4684-b629-b08f91dbe2bc,8/14/2019 16:00,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:00,clark@ccber.ucsb.edu_ucsb,-119.883826,34.42105809
37,8/14/2019,9:01,Song Sparrow,Melospiza melodia,4,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,3fcbce86-8546-4ae0-9fe9-c1ab18565501,8/14/2019 16:01,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:01,clark@ccber.ucsb.edu_ucsb,-119.8839082,34.42128042
38,8/14/2019,9:02,Common Yellowthroat,Geothlypis trichas,2,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,cc97b6dc-1821-41ad-8341-4693043f7a42,8/14/2019 16:02,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:02,clark@ccber.ucsb.edu_ucsb,-119.8837978,34.42124472
39,8/14/2019,9:02,Oak Titmouse,Baeolophus inornatus,1,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,804c8aeb-8d90-4be1-b164-5e85b80bb4f0,8/14/2019 16:02,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:02,clark@ccber.ucsb.edu_ucsb,-119.8845371,34.42118755
40,8/14/2019,9:04,Scaly-breasted Munia,Lonchura punctulata,1,No,,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,29aa0d25-29c6-48e6-beac-2c92f3a01138,8/14/2019 16:04,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:04,clark@ccber.ucsb.edu_ucsb,-119.884134,34.42134
41,8/14/2019,9:05,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Shrub,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,4ac5dc4a-9161-4fd0-a06e-fa5053017c3a,8/14/2019 16:05,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:05,clark@ccber.ucsb.edu_ucsb,-119.8841418,34.42181432
42,8/14/2019,9:09,Mourning Dove,Zenaida macroura,1,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,5b9331c7-8d54-4cb4-97cf-e6ac38dd3a35,8/14/2019 16:09,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:09,clark@ccber.ucsb.edu_ucsb,-119.8828724,34.42175742
43,8/14/2019,9:12,Greater Yellowlegs,Tringa melanoleuca,5,No,Water - Wading,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,f43bc61c-5be6-4b79-b975-36d35aeaab21,8/14/2019 16:12,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:20,clark@ccber.ucsb.edu_ucsb,-119.8824746,34.42123229
44,8/14/2019,9:12,Snowy Egret,Egretta thula,1,No,Water - Wading,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,9ac083da-852c-4bcc-b1de-f66663445c63,8/14/2019 16:12,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:12,clark@ccber.ucsb.edu_ucsb,-119.8823411,34.42125135
45,8/14/2019,9:13,Common Yellowthroat,Geothlypis trichas,3,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,2122c804-0ecf-4251-87fc-504aa5724ac2,8/14/2019 16:13,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:13,clark@ccber.ucsb.edu_ucsb,-119.88297,34.42121525
46,8/14/2019,9:13,Song Sparrow,Melospiza melodia,1,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,b9e53633-9448-4a9b-b46b-2e2e0bb8106e,8/14/2019 16:13,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:13,clark@ccber.ucsb.edu_ucsb,-119.8821033,34.42170833
47,8/14/2019,9:13,Anna's Hummingbird,Calypte anna,1,No,Vegetation - Shrub,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,311caee8-dfc3-4fae-892b-5070e0c935f7,8/14/2019 16:13,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:13,clark@ccber.ucsb.edu_ucsb,-119.8818534,34.42183778
48,8/14/2019,9:14,Black Phoebe,Sayornis nigricans,2,No,Vegetation - Herbaceous,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,fe407fc0-6044-40f3-bfae-235b7f1fc12f,8/14/2019 16:14,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:14,clark@ccber.ucsb.edu_ucsb,-119.8815787,34.42161333
49,8/14/2019,9:21,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2,No,,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,c2aeae2d-b10b-410c-9a99-97efc9906629,8/14/2019 16:21,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:21,clark@ccber.ucsb.edu_ucsb,-119.8785607,34.42018663
50,8/14/2019,9:21,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),2,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,9b89088c-2253-48db-ba56-d2fc799918ac,8/14/2019 16:21,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:21,clark@ccber.ucsb.edu_ucsb,-119.8826158,34.4218797
51,8/14/2019,9:22,Cliff Swallow,Petrochelidon pyrrhonota,2,No,,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,bf8427da-f604-4db9-bc7b-65983b14ab37,8/14/2019 16:22,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:22,clark@ccber.ucsb.edu_ucsb,-119.8821485,34.42062596
52,8/14/2019,9:26,White-breasted Nuthatch,Sitta carolinensis,1,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,de65161a-4a54-4e03-be09-5aeb85e6cb24,8/14/2019 16:26,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:26,clark@ccber.ucsb.edu_ucsb,-119.8824438,34.42176324
53,8/14/2019,9:28,Hooded Oriole,Icterus cucullatus,1,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,3de2bc5f-52b5-4d05-a8eb-6763ca80bb0c,8/14/2019 16:28,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:28,clark@ccber.ucsb.edu_ucsb,-119.8826132,34.42175477
54,8/14/2019,9:57,American Crow,Corvus brachyrhynchos,6,No,Bare ground,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,27e5e6ef-05ce-4713-8f20-f78afbc8bdef,8/14/2019 16:57,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:57,clark@ccber.ucsb.edu_ucsb,-119.8734251,34.42013945
55,8/14/2019,9:57,Red-shouldered Hawk,Buteo lineatus,1,No,Vegetation - Tree,,,,,"WEST: Darwin, Beau, Eirik",,,,,,,,,,,,,,,,0f3b9f64-744c-4673-a95b-ae315753d421,8/14/2019 16:57,clark@ccber.ucsb.edu_ucsb,8/14/2019 16:57,clark@ccber.ucsb.edu_ucsb,-119.8727384,34.42059202
56,8/14/2019,7:07,Mallard,Anas platyrhynchos,41,No,Water - Floating,,,,5.8,"EAST: Mark, Lisa, Steven",7.07,,58,100,Fog,,,,,,,,,,,94ace641-d0c0-42cb-bde6-1f866ff4bae0,8/14/2019 14:07,ccber_user,8/14/2019 14:08,ccber_user,-119.8748373,34.41863231
57,8/14/2019,7:08,Song Sparrow,Melospiza melodia,2,No,Fence,,Other,close assoc adult and juv,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,90bdebc5-54b8-4ff2-9d78-3bc9608623a5,8/14/2019 14:08,ccber_user,8/14/2019 14:08,ccber_user,-119.8736846,34.41803072
58,8/14/2019,7:12,California Towhee,Melozone crissalis,1,No,Bare ground,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,350ff885-143a-49a1-bfc8-3f5a038aa4cc,8/14/2019 14:12,ccber_user,8/14/2019 14:12,ccber_user,-119.873961,34.41838003
59,8/14/2019,7:15,Black Phoebe,Sayornis nigricans,2,No,Fence,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,ea92aa91-0c72-420f-bc22-582c306a4206,8/14/2019 14:15,ccber_user,8/14/2019 14:15,ccber_user,-119.8736257,34.41869538
60,8/14/2019,7:23,Gadwall,Mareca strepera,3,No,Water - Wading,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,75b3659e-b54b-4f07-a222-990db30d750b,8/14/2019 14:23,ccber_user,8/14/2019 14:23,ccber_user,-119.8753548,34.41915627
61,8/14/2019,7:23,Song Sparrow,Melospiza melodia,2,No,Vegetation - Tree,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,a4eb887e-819b-4096-8de1-8521d481de9d,8/14/2019 14:23,ccber_user,8/14/2019 14:23,ccber_user,-119.8737878,34.4189333
62,8/14/2019,7:23,House Wren,Troglodytes aedon,1,No,Vegetation - Shrub,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,347545a1-edd8-4596-9c33-eb4d4b9799a3,8/14/2019 14:23,ccber_user,8/14/2019 14:23,ccber_user,-119.8738935,34.41914695
63,8/14/2019,7:24,Song Sparrow,Melospiza melodia,1,No,Vegetation - Shrub,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,a54facaa-32a6-4c2d-92e0-2bd61e27389e,8/14/2019 14:24,ccber_user,8/14/2019 14:24,ccber_user,-119.8740151,34.41922108
64,8/14/2019,7:26,Common Yellowthroat,Geothlypis trichas,1,No,Vegetation - Shrub,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,a9d632de-9f8a-41f8-8b06-02bf6cdcaba4,8/14/2019 14:26,ccber_user,8/14/2019 14:26,ccber_user,-119.8743983,34.41908155
65,8/14/2019,7:26,House Finch,Haemorhous mexicanus,4,No,Air,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,bc81ce12-26c1-44fc-bffc-54131851b9f6,8/14/2019 14:26,ccber_user,8/14/2019 14:26,ccber_user,-119.8739781,34.41904013
66,8/14/2019,7:27,Snowy Egret,Egretta thula,1,No,Mud,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,e9e3055a-521c-404f-a7f3-53509f90b4a9,8/14/2019 14:27,ccber_user,8/14/2019 14:27,ccber_user,-119.8757487,34.41969634
67,8/14/2019,7:27,Snowy Egret,Egretta thula,1,No,Mud,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,2d7f974c-9ea7-4cf8-89dc-2e5678076381,8/14/2019 14:27,ccber_user,8/14/2019 14:27,ccber_user,-119.8750272,34.41849073
68,8/14/2019,7:28,Least Sandpiper,Calidris minutilla,2,No,Mud,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,94dd8370-3b94-401b-8e94-b99113812e71,8/14/2019 14:28,ccber_user,8/14/2019 14:31,ccber_user,-119.8754395,34.41950885
69,8/14/2019,7:29,Pied-billed Grebe,Podilymbus podiceps,1,No,Water - Floating,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,f84df9ed-2942-49b6-82a7-a1ea5f1fbb38,8/14/2019 14:29,ccber_user,8/14/2019 14:29,ccber_user,-119.8756113,34.41963748
70,8/14/2019,7:29,Red-necked Phalarope,Phalaropus lobatus,1,No,Water - Wading,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,f522cf84-7789-4732-ac18-8b5ca0e4db47,8/14/2019 14:29,ccber_user,8/14/2019 14:29,ccber_user,-119.8755505,34.41969416
71,8/14/2019,7:32,Canada Goose,Branta canadensis,5,No,Air,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,41914804-3b3c-4222-9c00-d7a0478624d4,8/14/2019 14:32,ccber_user,8/14/2019 14:32,ccber_user,-119.8780929,34.4208834
72,8/14/2019,7:37,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Shrub,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,eeddb31c-1db9-4940-bc0c-f2ff39c64434,8/14/2019 14:37,ccber_user,8/14/2019 14:37,ccber_user,-119.8729908,34.42029739
73,8/14/2019,7:38,House Finch,Haemorhous mexicanus,5,No,Air,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,e88387c4-8a36-4e57-aa9e-3d941ab887e6,8/14/2019 14:38,ccber_user,8/14/2019 14:38,ccber_user,-119.8733386,34.42027968
74,8/14/2019,7:38,Snowy Egret,Egretta thula,1,Yes,Bridge,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,d1bbe39b-ce6f-4efd-ae89-a4f462ae5e1d,8/14/2019 14:38,ccber_user,8/14/2019 14:38,ccber_user,-119.8738678,34.42093184
75,8/14/2019,7:38,Mallard,Anas platyrhynchos,17,No,Water - Wading,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,f2527205-8a4a-4f70-91d7-e60700ee2a4d,8/14/2019 14:38,ccber_user,8/14/2019 14:38,ccber_user,-119.8733588,34.42095545
76,8/14/2019,7:42,Black Phoebe,Sayornis nigricans,1,No,Vegetation - Shrub,,,,,"EAST: Mark, Lisa, Steven",,,,,,,,,,,,,,,,cb4247c0-6cab-468f-a39f-436ad01da6f9,8/14/2019 14:42,ccber_user,8/14/2019 14:42,ccber_user,-119.8718189,34.42068672
