Observation.Date,Year,Species,General.Type,eBird.Group,Count,Substrate,Repeat.Observation,Sex,Breeding.Activity,Slough.Water.Elevation..ft.
10/23/2020,2020,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Habitat Feature - Snag,No,,,4.1
10/23/2020,2020,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Black-crowned Night-Heron,"Herons, Egrets, Ibis","Herons, Ibis, and Allies",1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Black-crowned Night-Heron,"Herons, Egrets, Ibis","Herons, Ibis, and Allies",1,Water - Wading,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,4,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,2,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Blue-gray Gnatcatcher,Insectivores - Terrestrial,Gnatcatchers,2,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Burrowing Owl,Raptors,Owls,1,,No,,,4.1
10/23/2020,2020,Bushtit,Insectivores - Terrestrial,Penduline-Tits and Long-tailed Tits,20,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Bushtit,Insectivores - Terrestrial,Penduline-Tits and Long-tailed Tits,10,Vegetation - Tree,No,,,4.1
10/23/2020,2020,California Towhee,Omnivores,New World Sparrows,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,California Towhee,Omnivores,New World Sparrows,3,Fence,No,,,4.1
10/23/2020,2020,California Towhee,Omnivores,New World Sparrows,3,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Cassin's Kingbird,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",2,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Cassin's Kingbird,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",2,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Cassin's Kingbird,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Fence,No,,,4.1
10/23/2020,2020,Common Yellowthroat,Warblers,Wood-Warblers,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Common Yellowthroat,Warblers,Wood-Warblers,2,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Common Yellowthroat,Warblers,Wood-Warblers,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Common Yellowthroat,Warblers,Wood-Warblers,2,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Common Yellowthroat,Warblers,Wood-Warblers,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Common Yellowthroat,Warblers,Wood-Warblers,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Common Yellowthroat,Warblers,Wood-Warblers,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Common Yellowthroat,Warblers,Wood-Warblers,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Cooper's Hawk,Raptors,"Vultures, Hawks, and Allies",1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Cooper's Hawk,Raptors,"Vultures, Hawks, and Allies",1,Habitat Feature - Snag,Yes,,,4.1
10/23/2020,2020,Cooper's Hawk,Raptors,"Vultures, Hawks, and Allies",1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Cooper's Hawk,Raptors,"Vultures, Hawks, and Allies",1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Cooper's Hawk,Raptors,"Vultures, Hawks, and Allies",1,Habitat Feature - Snag,Yes,,,4.1
10/23/2020,2020,Cooper's Hawk,Raptors,"Vultures, Hawks, and Allies",1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Great Egret,"Herons, Egrets, Ibis","Herons, Ibis, and Allies",2,Mud,No,,,4.1
10/23/2020,2020,Greater Yellowlegs,Shorebirds,Shorebirds,1,Mud,No,,,4.1
10/23/2020,2020,Greater Yellowlegs,Shorebirds,Shorebirds,1,Water - Wading,No,,,4.1
10/23/2020,2020,House Finch,Seed & Fruit Eaters,"Finches, Euphonias, and Allies",5,Vegetation - Tree,No,,,4.1
10/23/2020,2020,House Finch,Seed & Fruit Eaters,"Finches, Euphonias, and Allies",3,,No,,,4.1
10/23/2020,2020,House Finch,Seed & Fruit Eaters,"Finches, Euphonias, and Allies",3,Vegetation - Tree,No,,,4.1
10/23/2020,2020,House Finch,Seed & Fruit Eaters,"Finches, Euphonias, and Allies",10,Vegetation - Tree,No,,,4.1
10/23/2020,2020,House Finch,Seed & Fruit Eaters,"Finches, Euphonias, and Allies",4,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,House Sparrow,Omnivores,Old World Sparrows,7,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,House Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,House Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,House Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,House Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,House Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,House Wren,Insectivores - Terrestrial,Wrens,1,Fence,No,,,4.1
10/23/2020,2020,House Wren,Insectivores - Terrestrial,Wrens,1,,No,,,4.1
10/23/2020,2020,Killdeer,Shorebirds,Shorebirds,16,Mud,No,,,4.1
10/23/2020,2020,Killdeer,Shorebirds,Shorebirds,1,Mud,No,,,4.1
10/23/2020,2020,Killdeer,Shorebirds,Shorebirds,12,Mud,No,,,4.1
10/23/2020,2020,Least Sandpiper,Shorebirds,Shorebirds,22,Mud,No,,,4.1
10/23/2020,2020,Least Sandpiper,Shorebirds,Shorebirds,1,Mud,No,,,4.1
10/23/2020,2020,Lesser Goldfinch,Seed & Fruit Eaters,"Finches, Euphonias, and Allies",1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Lincoln's Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Fence,No,,,4.1
10/23/2020,2020,Lincoln's Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Fence,No,,,4.1
10/23/2020,2020,Lincoln's Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Fence,No,,,4.1
10/23/2020,2020,Lincoln's Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Lincoln's Sparrow,Insectivores - Terrestrial,New World Sparrows,2,,No,,,4.1
10/23/2020,2020,Long-billed Dowitcher,Shorebirds,Shorebirds,5,Mud,No,,,4.1
10/23/2020,2020,Mallard,Waterfowl & Friends,Waterfowl,6,Water - Wading,No,,,4.1
10/23/2020,2020,Mallard,Waterfowl & Friends,Waterfowl,13,Mud,No,,,4.1
10/23/2020,2020,Mallard,Waterfowl & Friends,Waterfowl,3,Mud,No,,,4.1
10/23/2020,2020,Marsh Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Marsh Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Marsh Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Northern Mockingbird,Omnivores,"Catbirds, Mockingbirds, and Thrashers",1,Fence,No,,,4.1
10/23/2020,2020,Northern Mockingbird,Omnivores,"Catbirds, Mockingbirds, and Thrashers",1,Fence,No,,,4.1
10/23/2020,2020,Orange-crowned Warbler,Warblers,Wood-Warblers,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Red-tailed Hawk,Raptors,"Vultures, Hawks, and Allies",1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Red-tailed Hawk,Raptors,"Vultures, Hawks, and Allies",1,Vegetation - Tree,Yes,,,4.1
10/23/2020,2020,Red-winged Blackbird,Insectivores - Terrestrial,Blackbirds,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Rock Pigeon (Feral Pigeon),Seed & Fruit Eaters,Pigeons and Doves,2,Air,No,,,4.1
10/23/2020,2020,Rock Pigeon (Feral Pigeon),Seed & Fruit Eaters,Pigeons and Doves,20,Building,No,,,4.1
10/23/2020,2020,Rock Pigeon (Feral Pigeon),Seed & Fruit Eaters,Pigeons and Doves,4,,No,,,4.1
10/23/2020,2020,Ruby-crowned Kinglet,Insectivores - Terrestrial,Kinglets,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Ruby-crowned Kinglet,Insectivores - Terrestrial,Kinglets,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Ruby-crowned Kinglet,Insectivores - Terrestrial,Kinglets,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Ruby-crowned Kinglet,Insectivores - Terrestrial,Kinglets,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Savannah Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Fence,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",2,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Fence,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Habitat Feature - Snag,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Fence,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Habitat Feature - Snag,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Building,No,,,4.1
10/23/2020,2020,Say's Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Fence,No,,,4.1
10/23/2020,2020,Scaly-breasted Munia,Seed & Fruit Eaters,Estrildids,11,Air,No,,,4.1
10/23/2020,2020,Scaly-breasted Munia,Seed & Fruit Eaters,Estrildids,20,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Bare ground,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,2,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,2,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,2,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Bare ground,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,2,Bare ground,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,4,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,2,,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,1,,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Song Sparrow,Insectivores - Terrestrial,New World Sparrows,2,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Tropical Kingbird,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,,No,,,4.1
10/23/2020,2020,Virginia Rail,Waterfowl & Friends,"Rails, Gallinules, and Allies",1,Water - Wading,No,,,4.1
10/23/2020,2020,Western Bluebird,Insectivores - Terrestrial,Thrushes,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Western Bluebird,Insectivores - Terrestrial,Thrushes,5,,No,,,4.1
10/23/2020,2020,Western Gull,Gulls & Terns,"Gulls, Terns, and Skimmers",1,Air,No,,,4.1
10/23/2020,2020,Western Gull,Gulls & Terns,"Gulls, Terns, and Skimmers",3,,No,,,4.1
10/23/2020,2020,Western Meadowlark,Insectivores - Terrestrial,Blackbirds,1,Fence,No,,,4.1
10/23/2020,2020,Western Meadowlark,Insectivores - Terrestrial,Blackbirds,10,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Western Meadowlark,Insectivores - Terrestrial,Blackbirds,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Western Meadowlark,Insectivores - Terrestrial,Blackbirds,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Western Meadowlark,Insectivores - Terrestrial,Blackbirds,30,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Western Meadowlark,Insectivores - Terrestrial,Blackbirds,30,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Western Sandpiper,Shorebirds,Shorebirds,1,Mud,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,4,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,5,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,3,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,5,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,6,Fence,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,6,Bare ground,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,5,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,5,,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,2,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,10,Vegetation - Tree,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,3,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,5,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,2,Vegetation - Tree,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,2,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,2,Vegetation - Tree,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,1,Bare ground,No,,,4.1
10/23/2020,2020,White-crowned Sparrow,Insectivores - Terrestrial,New World Sparrows,4,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Wrentit,Insectivores - Terrestrial,"Parrotbills, Wrentit, and Allies",1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,3,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,5,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,5,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,1,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,5,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,1,Fence,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,10,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,100,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,1,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,2,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,50,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,4,Vegetation - Shrub,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,8,Vegetation - Herbaceous,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,5,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,5,Vegetation - Tree,No,,,4.1
10/23/2020,2020,Yellow-rumped Warbler,Warblers,Wood-Warblers,4,Vegetation - Shrub,No,,,4.1
10/24/2018,2018,Allen's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Tree,No,,,4.6
10/24/2018,2018,American Coot,Waterfowl & Friends,"Rails, Gallinules, and Allies",5,Water - Floating,No,,,4.6
10/24/2018,2018,American Crow,Omnivores,"Jays, Magpies, Crows, and Ravens",3,Vegetation - Tree,No,,,4.6
10/24/2018,2018,American Crow,Omnivores,"Jays, Magpies, Crows, and Ravens",1,,No,,,4.6
10/24/2018,2018,American Kestrel,Raptors,Falcons and Caracaras,1,Vegetation - Tree,No,M,,4.6
10/24/2018,2018,American Pipit,Insectivores - Terrestrial,Wagtails and Pipits,1,Air,No,,,4.6
10/24/2018,2018,American Pipit,Insectivores - Terrestrial,Wagtails and Pipits,1,Bare ground,No,,,4.6
10/24/2018,2018,American Pipit,Insectivores - Terrestrial,Wagtails and Pipits,1,Vegetation - Herbaceous,No,,,4.6
10/24/2018,2018,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Flyover,No,,,4.6
10/24/2018,2018,Anna's Hummingbird,Hummingbirds,Hummingbirds,3,Vegetation - Tree,No,,,4.6
10/24/2018,2018,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Bare ground,No,,,4.6
10/24/2018,2018,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Tree,No,,,4.6
10/24/2018,2018,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Tree,No,,,4.6
10/24/2018,2018,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Tree,No,,,4.6
10/24/2018,2018,Anna's Hummingbird,Hummingbirds,Hummingbirds,1,Vegetation - Shrub,No,,,4.6
10/24/2018,2018,Belted Kingfisher,Kingfishers,Kingfishers,1,Air,No,,,4.6
10/24/2018,2018,Bewick's Wren,Insectivores - Terrestrial,Wrens,1,Vegetation - Tree,No,,,4.6
10/24/2018,2018,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Fence,No,,,4.6
10/24/2018,2018,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Fence,No,,,4.6
10/24/2018,2018,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",2,Fence,No,,,4.6
10/24/2018,2018,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Shrub,No,,,4.6
10/24/2018,2018,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Fence,No,,,4.6
10/24/2018,2018,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",2,Vegetation - Herbaceous,No,,,4.6
10/24/2018,2018,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Vegetation - Tree,No,,,4.6
10/24/2018,2018,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Fence,No,,,4.6
10/24/2018,2018,Black Phoebe,Insectivores - Aerial,"Tyrant Flycatchers: Pewees, Kingbirds, and Allies",1,Fence,No,,,4.6
